country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Indonesia,2023,IDN,277534112.0,,17.62,16.834,404.907,112.376,,,,4.002,,-1.365,-16.604,4323.455,1199.906,781.082,216.777,12.765,494.743,15747.909,4370.582,61.829,42.736,,350.609,13.024,0.584,16.311,10116.714,,-0.026,-0.664,1024.526,284.341,9059.86,2514.42,81.099,89.553,3.172,13.97,454.45,219.814,61.006,1637.456,2.263,14.223,2315.537,642.64,17.4,16.186,,-9.91,-7.285,63.877,88.602,24.59,230.157,7.014,2.275,10.337,16.976,293.313,234.906,65.194,1056.854,18.595,10.447,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.97,860.064,23.63,6.558,3098.949,-1.307,-4.787,1302.656,361.531,1.87,30.632,113.96,39.41,,5.664,6.411,142.002,,410.615,11.241,,4.059,1263.301,2807.733,10.337,16.976,293.313,234.906,65.194,1056.854,18.595,10.447,60.654,0.695,1.852,2.569,0.713,6.672,0.203,0.066,35.112,0.321,1.249,1.733,0.481,4.502,0.137,0.045
Iran,2023,IRN,89172768.0,,,,,,0.224,0.02,0.006,,655.125,1.8,0.387,245.487,21.891,8.411,0.75,,,,,0.207,0.62,355.61,363.03,10.454,1.853,64.243,39598.59,,1.215,41.413,3818.543,340.51,38691.266,3450.207,93.797,97.709,2.57,61.522,2455.535,3526.076,314.43,27536.824,1.604,39.722,28223.631,2516.779,86.613,69.54,237.83,61.761,22.335,58.845,156.438,13.95,659.897,3.843,1.666,39.372,22.83,80.909,252.543,22.52,907.328,6.203,2.291,-7.42,-2.087,1.051,0.112,16.539,73.677,6.57,185.477,1.81,0.468,-2.064,-20.496,972.781,284.055,25.33,10908.952,18.893,396.05,27948.984,2492.288,6.977,27.549,0.09,0.028,,0.0,0.0,0.316,,1.01,0.008,,0.003,4071.086,3531.116,55.128,22.718,64.369,178.866,15.95,721.851,4.394,1.823,10.317,0.179,1.98,8.186,0.73,22.201,0.201,0.056,6.693,0.205,3.455,14.018,1.25,38.744,0.344,0.098
Iraq,2023,IRQ,45504564.0,,,,,,,,,,,,,,,,,,,,,,,,139.352,20.148,5.135,34.078,15332.978,,,,,,,,,,1.851,3.399,187.015,,,4109.807,6.901,6.41,2182.231,99.301,,,,27.81,1.89,8.8,74.45,3.388,193.395,2.431,,23.989,1.886,9.897,83.729,3.81,217.5,2.734,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,6.1,28.794,500.808,,,11005.67,-3.737,-96.173,54448.695,2477.664,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,3062.374,697.72,23.989,1.886,9.897,83.729,3.81,217.5,2.734,,0.0,-0.004,1.097,9.279,0.422,24.104,0.303,,,0.0,0.0,0.0,0.0,0.0,0.0,
Ireland,2023,IRL,5056931.0,,43.192,1.118,733.198,3.708,199.726,1.01,3.213,2.051,290.805,-31.671,-3.499,1492.82,7.549,225.433,1.14,,,,,3.627,4.176,34.64,31.43,19.906,-2.796,-5.2,35746.328,,-5.552,-8.256,3500.146,17.7,27773.898,140.451,56.316,77.697,-7.241,-3.765,48.234,3106.627,15.71,9538.266,,,,,49.984,26.683,9.14,33.161,0.597,2.426,185.883,0.94,479.641,2.991,1.342,12.291,3.055,40.316,2715.085,13.73,7972.436,43.684,22.303,3.21,9.267,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.157,-0.991,84.667,168.086,0.85,16742.811,,,,,2.704,46.838,3.0,1.01,0.0,-7.243,-0.234,199.726,0.0,593.342,3.213,0.0,1.66,6215.232,180.767,12.291,3.055,40.316,2715.085,13.73,7972.436,43.684,22.303,179.951,0.692,1.078,106.784,0.54,213.259,1.718,0.597,3.394,0.882,30.104,2222.692,11.24,5952.995,35.762,16.653
Israel,2023,ISR,9174520.0,,9.905,0.074,88.942,0.816,,,,0.264,,-13.529,-6.011,4187.366,38.417,,,,,,,,12.414,,77.177,26.03,0.262,0.81,33730.262,,-1.225,-3.567,,,31346.912,287.593,,92.934,3.5,4.25,125.673,,,13698.001,12.785,26.651,25625.682,235.103,,40.61,,-1.002,-0.001,0.06,2.534,0.023,6.581,0.03,0.02,24.548,4.377,21.866,880.689,8.08,2383.353,10.469,7.066,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.442,-1.806,123.503,,,13461.544,,,,,,39.909,0.329,0.103,,0.0,0.0,11.233,,35.857,0.134,,0.106,8412.081,309.459,24.548,4.377,21.866,880.689,8.08,2383.353,10.469,7.066,23.491,3.655,19.515,818.862,7.513,2127.128,9.734,6.306,132.11,0.65,1.145,48.06,0.441,124.845,0.571,0.37
Italy,2023,ITA,58870764.0,,14.866,1.837,241.037,14.19,282.143,16.61,6.326,0.859,330.718,-30.291,-26.167,1022.878,60.218,236.11,13.9,,,,,5.294,3.646,313.9,262.58,17.96,-3.889,-66.817,28051.859,,-7.056,-101.209,2510.244,147.78,22643.973,1333.068,56.28,80.722,-10.125,-66.014,585.976,2010.166,118.34,9953.605,-9.874,-3.118,483.477,28.463,45.068,35.483,86.84,37.066,27.074,101.11,644.462,37.94,1717.489,14.449,6.123,13.616,34.393,318.367,1950.034,114.8,5407.888,43.72,19.278,51.32,16.349,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.297,-9.029,686.874,263.968,15.54,11667.488,-4.542,-2.387,852.032,50.16,5.918,41.593,60.824,22.34,5.73,-13.399,-10.012,379.475,97.332,1033.185,8.508,2.182,3.683,4460.278,1651.434,13.616,34.393,318.367,1950.034,114.8,5407.888,43.72,19.278,11.045,7.802,81.118,526.747,31.01,1377.903,11.81,4.912,14.815,7.693,61.124,399.349,23.51,1038.274,8.953,3.701
Japan,2023,JPN,123294512.0,,-1.407,-0.071,40.316,4.971,399.369,49.24,4.858,0.103,485.392,-7.72,-105.414,10220.329,1260.11,2655.593,327.42,-4.95,-0.233,36.222,4.466,32.306,26.066,1013.51,1013.51,23.262,-3.407,-170.507,39209.965,,-6.09,-261.553,5633.26,694.55,32709.631,4032.918,68.529,83.422,-7.784,-78.015,924.208,2699.877,332.88,7495.937,,,,,32.844,19.117,491.95,-0.493,-1.668,193.524,598.486,73.79,1569.608,7.281,4.003,13.325,91.046,801.456,2586.976,318.96,6500.337,31.471,16.578,0.0,0.0,49.613,63.558,193.086,628.09,77.44,1566.059,7.641,3.994,-4.055,-78.123,1848.599,277.79,34.25,14993.363,,,,,3.379,38.239,131.918,42.045,,11.143,13.251,341.015,,1069.941,4.148,,2.729,8220.236,4834.374,4.716,27.487,608.369,1958.887,241.52,4934.278,23.83,12.584,6.504,14.523,251.957,886.982,109.36,2043.535,10.79,5.212,6.303,1.452,26.0,74.05,9.13,210.877,0.901,0.538
Kazakhstan,2023,KAZ,19606640.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.391,-1.711,-6.703,19637.531,385.026,3871.648,75.91,-1.222,-6.609,27254.801,534.375,66.658,46.496,113.06,113.88,14.143,1.074,8.803,42234.961,,0.767,6.018,5067.161,99.35,40325.871,790.655,87.241,95.48,0.674,1.433,214.251,1191.943,23.37,10927.463,11.674,32.222,15720.635,308.229,20.522,25.873,93.54,-4.431,-1.146,22.843,447.297,8.77,1165.042,7.701,2.758,8.428,2.784,37.431,741.075,14.53,1909.092,12.759,4.52,-0.82,-0.725,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.268,11.288,191.378,3.57,0.07,9760.876,-6.383,-66.8,49965.906,979.664,0.061,23.111,0.014,0.005,,52.582,0.005,0.23,,0.733,0.004,,0.002,5808.236,828.086,8.428,2.784,37.431,741.075,14.53,1909.092,12.759,4.52,10.446,0.464,5.085,93.336,1.83,259.361,1.607,0.614,58.004,3.461,9.489,200.442,3.93,483.956,3.451,1.146
Kenya,2023,KEN,55100588.0,,,,,,4.356,0.24,1.967,,70.492,,,,,0.0,0.0,,,,,0.0,,12.99,12.2,,,,,,,,13.248,0.73,,,5.984,,,,,0.0,0.0,,,,,,0.0,,0.86,,,,49.001,2.7,,22.131,,,,,208.165,11.47,,94.016,,0.79,6.082,,,,0.0,0.0,,0.0,,,,,13.248,0.73,,,,,,5.984,,,6.28,6.04,,,113.973,109.618,,51.475,49.508,,221.413,,,,,208.165,11.47,,94.016,,,,,8.893,0.49,,4.016,,,,,36.297,2.0,,16.393,
Kosovo,2023,,1663599.0,,,,,,0.0,0.0,0.0,,894.654,,,,,3372.207,5.61,,,,,88.208,,7.67,6.36,,,,,,,,3384.229,5.63,,,88.522,,,,,0.0,0.0,,,,,,0.0,,5.69,,,,324.597,0.54,,8.491,,,,,438.808,0.73,,11.478,,1.31,17.08,,,,0.0,0.0,,0.0,,,,,12.022,0.02,,,,,,0.314,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,3823.037,,,,,438.808,0.73,,11.478,,,,,12.022,0.02,,0.314,,,,,102.188,0.17,,2.673,
Kuwait,2023,KWT,4310107.0,,,,,,0.0,0.0,0.0,,649.163,0.0,0.0,355.644,1.533,0.0,0.0,,,,,0.0,,90.84,90.84,20.745,1.321,5.713,101647.75,,1.332,5.753,21029.641,90.64,101548.734,437.686,99.78,,3.67,7.95,224.55,11797.851,50.85,52098.574,2.58,3.403,31389.252,135.291,55.978,,58.97,,,,0.0,0.0,,0.0,,,,,46.403,0.2,,0.22,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,-1.027,-2.197,211.603,9231.79,39.79,49094.512,-4.187,-71.025,377134.031,1625.488,43.802,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,21076.043,438.113,,,,46.403,0.2,,0.22,,-10.271,-0.04,0.336,39.442,0.17,77.905,0.187,,0.0,-0.0,0.091,6.96,0.03,21.118,0.033,
Latin America and Caribbean (Ember),2023,,,,,,,,,77.1,4.267,,258.593,,,,,,89.95,,,,,4.978,,1806.93,1806.93,,,,,,,,,649.99,,,35.972,,,,,,427.25,,,,,,23.645,,467.26,,,,,782.1,,43.283,,,,,,1156.94,,64.028,,,,,,,,35.8,,1.981,,,,,,132.79,,,,,,7.349,,,81.8,4.7,,,,,,4.527,0.26,,,,,,,,1121.14,,62.047,,,,,,102.21,,5.657,,,,,,155.03,,8.58,
Latvia,2023,LVA,1830214.0,,-25.975,-0.056,86.866,0.159,377.005,0.69,11.04,0.395,123.2,-45.367,-0.075,49.088,0.09,0.0,0.0,,,,,0.0,0.223,7.03,6.25,19.325,4.568,1.758,21982.455,,-1.924,-0.537,797.721,1.46,14966.555,27.392,23.36,68.084,-5.344,-0.433,7.671,797.721,1.46,4191.381,,,,,23.36,19.067,0.77,38.186,2.702,9.871,2076.26,3.8,5393.23,60.8,24.534,22.527,2.295,12.841,2617.18,4.79,7015.9,76.64,31.916,0.78,11.095,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.151,-0.03,19.631,0.0,0.0,10726.085,,,,,0.0,48.794,1.995,0.69,0.0,-22.03,-0.564,377.005,0.0,1089.772,11.04,0.0,4.957,3414.901,40.233,22.527,2.295,12.841,2617.18,4.79,7015.9,76.64,31.916,13.868,0.014,0.122,21.855,0.04,66.708,0.64,0.303,40.526,0.198,0.694,142.06,0.26,379.324,4.16,1.726
Libya,2023,LBY,6888394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.006,17.481,23674.135,163.077,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,11.39,71.003,100808.602,694.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,2023,LTU,2718352.0,,2.705,0.038,525.358,1.428,224.401,0.61,10.971,2.153,160.072,-38.726,-0.828,482.093,1.31,0.0,0.0,,,,,0.0,1.976,12.74,5.56,9.203,1.93,1.256,24397.867,,-1.138,-0.63,481.91,1.31,20136.857,54.739,23.561,82.535,-2.604,-0.419,15.655,231.758,0.63,5759.088,,,,,11.331,23.605,0.89,-3.04,-0.041,1.17,169.22,0.46,430.291,8.273,1.764,18.314,1.886,11.583,1563.447,4.25,4261.007,76.439,17.465,7.18,56.358,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.617,37.773,250.152,0.68,13895.678,,,,,12.23,56.954,1.542,0.61,0.0,-31.794,-0.719,224.401,0.0,567.238,10.971,0.0,2.325,2045.357,66.322,18.314,1.886,11.583,1563.447,4.25,4261.007,76.439,17.465,4.726,0.039,0.931,239.115,0.65,342.46,11.691,1.404,65.761,2.569,6.512,930.711,2.53,2395.66,45.504,9.819
Low-income countries,2023,,737174745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.136,0.621,40.246,29.668,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,-3.056,-7.65,329.156,242.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower-middle-income countries,2023,,3486412598.0,,19.03,6.639,11.911,41.526,,,,0.196,,9.993,686.322,2166.828,7554.458,,,14.856,736.706,1633.635,5695.525,,35.714,,,,3.985,810.688,6067.161,,4.427,806.791,,,5458.483,19030.525,,89.968,0.713,39.439,5571.12,,,1597.952,-1.874,-120.457,1809.01,6306.957,,26.338,,-7.24,-72.531,884.773,,,253.777,,4.183,0.993,3.894,2122.099,,,608.677,,10.032,,,-5.44,-19.836,323.108,,,92.676,,1.528,1.391,81.032,5904.949,,,1693.703,7.512,401.203,1646.951,5741.951,,27.916,157.957,,,-1.561,-2.844,,,45.306,,,0.747,,21152.625,2.264,23.73,1798.992,,,516.001,,8.505,15.208,53.762,417.269,,,119.684,,1.973,15.376,38.704,297.467,,,85.322,,1.406
Luxembourg,2023,LUX,654771.0,,3.288,0.049,2339.919,1.532,320.723,0.21,18.421,4.081,105.263,-18.46,-0.088,594.846,0.389,0.0,0.0,,,,,0.0,1.037,6.33,1.14,3.192,-3.142,-1.218,57341.914,,-3.774,-1.3,137.453,0.09,50604.398,33.134,7.895,88.25,-6.258,-0.383,5.735,45.818,0.03,8758.132,,,,,2.632,15.274,0.12,40.943,0.068,0.235,106.908,0.07,358.373,6.14,0.625,3.974,0.082,4.412,1603.614,1.05,6737.517,92.105,11.75,5.19,81.991,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.976,-0.829,27.01,91.635,0.06,41251.418,,,,,5.263,71.939,0.653,0.21,0.0,-42.969,-0.492,320.723,0.0,997.359,18.421,0.0,1.739,1741.067,37.546,3.974,0.082,4.412,1603.614,1.05,6737.517,92.105,11.75,9.267,0.064,0.784,427.63,0.28,1197.602,24.561,2.089,48.891,0.394,1.208,748.353,0.49,1844.264,42.982,3.216
Madagascar,2023,MDG,30325736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,2023,MYS,34308528.0,,7.547,0.781,324.565,11.135,,,,0.834,,3.762,9.895,7955.552,272.943,2372.542,81.398,,,,,43.345,20.44,,187.793,14.705,0.303,4.031,38920.656,,0.247,3.036,4424.988,151.815,35850.625,1229.982,80.842,92.112,-11.308,-58.738,460.715,2017.857,69.23,13428.587,-2.324,-19.286,23630.896,810.741,36.865,34.502,,-0.875,-1.024,81.841,918.308,31.506,2385.454,16.777,6.129,2.146,0.995,105.328,1048.666,35.978,3070.03,19.158,7.888,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.673,51.878,496.324,34.589,1.187,14466.484,0.735,2.167,8652.552,296.856,0.632,37.169,3.939,1.234,,0.0,0.0,35.968,,114.816,0.657,,0.295,5473.654,1335.31,2.146,0.995,105.328,1048.666,35.978,3070.03,19.158,7.888,17.674,1.237,8.412,94.391,3.238,245.195,1.724,0.63,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malta,2023,MLT,535074.0,,,,,,18.689,0.01,0.389,,459.144,,,,,0.0,0.0,,,,,0.0,,3.2,2.57,,,,,,,,3793.868,2.03,,,78.988,,,,,3737.801,2.0,,,,,,77.821,,1.18,,,,0.0,0.0,,0.0,,,,,1009.206,0.54,,21.012,,0.63,19.688,,,,0.0,0.0,,0.0,,,,,56.067,0.03,,,,,,1.167,,,0.01,0.0,,,18.689,0.0,,0.389,0.0,,4803.074,,,,,1009.206,0.54,,21.012,,,,,990.517,0.53,,20.623,,,,,0.0,0.0,,0.0,
Mexico,2023,MEX,128455560.0,,2.022,0.055,21.623,2.778,51.613,6.63,1.876,0.118,507.245,8.085,5.485,570.796,73.322,263.982,33.91,0.144,0.055,297.96,38.275,9.597,3.123,356.44,353.34,16.066,3.298,74.96,18279.035,,4.408,89.292,2115.596,271.76,16464.895,2115.007,76.912,90.075,7.285,66.257,975.727,1596.505,205.08,7595.836,5.509,18.581,2770.501,355.886,58.04,41.555,179.23,-42.632,-39.716,52.991,161.457,20.74,412.523,5.87,2.257,-5.42,-14.333,233.036,635.083,81.58,1814.138,23.088,9.925,3.1,0.87,14.162,3.731,30.875,96.064,12.34,240.355,3.492,1.315,1.674,17.55,1065.958,255.108,32.77,8298.264,5.024,57.049,9283.361,1192.499,9.274,45.398,19.642,7.1,,6.02,1.401,55.27,,152.906,2.009,,0.837,2750.679,2348.044,-7.895,-18.064,202.161,539.019,69.24,1573.783,19.596,8.61,33.435,17.475,70.509,164.96,21.19,548.9,5.997,3.003,5.467,2.721,56.242,160.99,20.68,437.832,5.853,2.395
Middle Africa (EI),2023,,,,,,,,,,,,,33.923,1.636,,6.459,,,,,,,,2.06,,45.301,20.218,1.234,3.823,,,0.59,1.314,,,,224.062,,71.456,-13.329,-7.565,49.193,,,,,,,,,15.688,,2.914,2.169,87.563,,33.708,,74.41,27.925,3.264,2.508,89.504,,,,,28.544,,,,,,,,,,,4.494,7.243,168.41,,,,,,,,,53.708,0.355,0.111,,-5.125,-0.019,,,,0.245,,0.113,,313.567,3.264,2.508,89.504,,34.43,,76.004,28.544,30.198,0.358,1.564,,0.602,,1.329,0.499,0.0,-0.0,0.023,,0.009,,0.02,0.007
Middle East (EI),2023,,,,9.905,0.074,,0.816,,,,0.007,,0.213,0.224,,105.303,,18.362,37.442,6.589,,24.185,1.255,0.937,,1463.389,13.219,2.963,323.444,,,2.206,236.543,,1355.353,,10961.586,92.617,97.535,2.049,115.999,5777.167,,1028.12,,1.568,110.027,,7127.04,70.256,51.405,,51.947,24.321,71.644,,27.58,,1.885,0.637,46.048,86.9,276.999,,107.819,,7.368,2.465,,,45.888,30.265,96.99,,38.909,,2.659,0.863,2.426,120.321,5079.116,,308.871,,-1.959,-328.631,,16443.527,21.107,45.194,1.021,0.32,,6.817,0.065,,,,0.022,,0.009,,11238.585,46.138,56.635,180.009,,68.909,,4.709,1.602,51.328,31.413,93.275,,35.907,,2.454,0.83,6.49,0.762,13.252,,5.102,,0.349,0.118
Middle East (Ember),2023,,,,,,,,,0.23,0.017,,657.565,,,,,,17.49,,,,,1.259,,1389.08,1389.08,,,,,,,,,1320.22,,,95.043,,,,,,1051.22,,,,,,75.677,,913.41,,,,,18.0,,1.296,,,,,,68.86,,4.957,,,,,,,,26.67,,1.92,,,,,,251.51,,,,,,18.106,,,0.23,0.0,,,,,,0.017,0.0,,,,,,,,42.19,,3.037,,,,,,20.87,,1.502,,,,,,3.09,,0.222,
Moldova,2023,MDA,3435935.0,,,,,,8.731,0.03,0.509,,643.464,,,,,0.0,0.0,,,,,0.0,,5.95,5.89,,,,,,,,1548.341,5.32,,,90.323,,,,,1490.133,5.12,,,,,,86.927,,3.79,,,,98.954,0.34,,5.772,,,,,165.894,0.57,,9.677,,0.06,1.008,,,,0.0,0.0,,0.0,,,,,58.208,0.2,,,,,,3.396,,,0.03,0.0,,,8.731,0.0,,0.509,0.0,,1714.235,,,,,165.894,0.57,,9.677,,,,,8.731,0.03,,0.509,,,,,49.477,0.17,,2.886,
Mongolia,2023,MNG,3447157.0,,,,,,0.0,0.0,0.0,,775.309,,,,,1992.947,6.87,111.578,232.276,127771.781,440.449,84.815,,9.94,8.1,,,,,,,,2097.381,7.23,,,89.259,,,,,0.0,0.0,,,,,,0.0,,6.28,,,,23.208,0.08,,0.988,,,,,252.382,0.87,,10.741,,1.84,18.511,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,104.434,0.36,,,,,,4.444,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,2349.762,,,,,252.382,0.87,,10.741,,,,,49.316,0.17,,2.099,,,,,179.858,0.62,,7.654,
Montenegro,2023,MNE,626486.0,,,,,,0.0,0.0,0.0,,417.073,,,,,2601.814,1.63,,,,,39.756,,4.15,4.1,,,,,,,,2601.814,1.63,,,39.756,,,,,0.0,0.0,,,,,,0.0,,1.71,,,,3415.879,2.14,,52.195,,,,,3942.626,2.47,,60.244,,0.05,1.205,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,6544.44,,,,,3942.626,2.47,,60.244,,,,,0.0,0.0,,0.0,,,,,526.748,0.33,,8.049,
Morocco,2023,MAR,37840052.0,,,,,,1.057,0.04,0.094,,630.014,-6.2,-5.354,2140.787,81.007,721.986,27.32,,,,,64.464,29.861,44.35,42.38,16.472,1.582,4.224,7169.151,,-0.014,-0.034,884.513,33.47,6563.732,248.372,78.976,91.555,298.755,6.653,8.88,53.911,2.04,234.675,,,,,4.814,3.273,26.7,-53.524,-0.49,0.423,14.799,0.56,11.173,1.321,0.156,23.278,4.258,22.909,235.465,8.91,605.419,21.024,8.445,1.97,4.442,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.834,-1.333,158.484,108.615,4.11,4188.271,,,,,9.698,58.421,0.0,0.04,0.0,,0.0,1.057,0.0,0.0,0.094,0.0,0.0,1119.977,271.281,23.278,4.258,22.909,235.465,8.91,605.419,21.024,8.445,45.79,1.708,5.483,54.175,2.05,144.894,4.837,2.021,22.215,3.04,17.003,165.433,6.26,449.351,14.771,6.268
Mozambique,2023,MOZ,33897356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,2023,MMR,54578000.0,,,,,,4.947,0.27,1.488,,398.898,,,,,38.477,2.1,,,,,11.57,,16.83,18.15,,,,,,,,137.968,7.53,,,41.488,,,,,97.292,5.31,,-10.062,-16.951,2775.931,151.505,29.256,,7.24,,,,184.14,10.05,,55.372,,,,,194.584,10.62,,58.512,,-1.32,-7.843,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.199,0.12,,,,,,0.661,,,0.27,0.0,,,4.947,0.0,,1.488,0.0,,332.552,,,,,194.584,10.62,,58.512,,,,,5.497,0.3,,1.653,,,,,0.0,0.0,,0.0,
Netherlands,2023,NLD,17618296.0,,17.292,2.054,790.733,13.931,468.263,8.25,6.754,1.46,267.622,-31.62,-20.342,2496.916,43.991,479.615,8.45,,,,,6.918,4.609,116.63,122.15,14.351,-0.07,-0.668,54177.977,,-3.298,-26.428,3389.658,59.72,43976.91,774.798,48.891,81.171,-6.406,-17.639,257.722,2616.598,46.1,14628.102,-34.23,-51.278,5592.356,98.528,37.74,27.0,32.69,36.005,0.046,0.177,3.406,0.06,10.026,0.049,0.019,18.226,25.76,179.725,3543.475,62.43,10201.063,51.109,18.829,-5.52,-4.733,-4.148,-0.467,9.931,227.037,4.0,563.662,3.275,1.04,2.503,11.553,473.085,293.445,5.17,26851.893,,,,,4.233,49.562,25.653,8.25,0.0,-17.879,-5.585,468.263,0.0,1456.034,6.754,0.0,2.688,6933.134,954.524,19.771,26.227,169.795,3316.439,58.43,9637.402,47.835,17.788,23.973,10.474,55.0,1200.457,21.15,3121.772,17.315,5.762,34.972,19.239,75.033,1644.313,28.97,4258.838,23.717,7.861
New Caledonia,2023,NCL,293002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
